profile,required,default_value,category
OM: Add Customer,Req,NULL,"Customer Usage, Security, Forms UI"
OM: Add Customer (Order Import),Opt,NULL,"Customer Usage, Security, Order Import"
OM: Administer Public Queries,Req,No,"Forms UI, Security"
OM: Allow Model Fulfillment Without Configuration,Opt,No,"Fulfillment, Configurations"
OM: Allow Standard ATO Items as PTO/Kit Included Components,Opt,No,None
OM: Apply Automatic Attachments,Opt,Yes,Transaction Entry
OM: Assign New Set For Each Line,Opt,NULL,Scheduling
OM: ATP Engine,Opt,NULL,Scheduling
OM: Authorized to Override ATP,Opt,NULL,"Scheduling, Security"
OM: Automatically Interface Lines to IB on Fulfillment,Opt,Yes,Fulfillment
OM: Automatically Open Related Items Window,Opt,No,Forms UI
OM: Auto schedule,Opt,NULL,Scheduling
OM: Auto Push Group Date,Opt,NULL,Scheduling
OM: Bypass ATP,Opt,Null,Scheduling
OM: Cascade Service,Opt,Null - equivalent to Yes,"Service, Transaction Entry"
OM: Change SO Response Required,,,Electronic Messaging
OM: Charges for Backorders,Opt,NULL,Pricing
OM: Charges for included item,Opt,NULL,Pricing
OM: Charging Privilege,Opt,NULL,"Pricing, Security"
OM: Commitment Sequencing,Opt,No,Payments
OM: Configuration Quick Save,Opt,No,"Transaction Entry, Configurations"
OM: Contact Center Actions Menu Name,No,ONT_CONTACT_CENTER_SUB_MNU,Forms UI
OM: Context Responsibility for Upgraded Orders,Opt,No Default,Upgrade
OM: Copy Model DFF To Child Lines,Opt,No,"Transaction Entry, Configurations"
OM: Create Account Information,Opt,None,"Customer Usage, Security"
OM: Credit Card Privileges,Opt,None,"Payments, Security"
OM: Credit Check Notification Recipient,Opt,None,None
OM: Cust Item Shows Matches,,,"Item Usage, Forms UI"
OM: Customer Service Feedback,Opt,NULL,"Returns, Portal UI"
OM: Customer Service Report Defect,Opt,N,"Returns, Portal UI"
OM: Debug Level,Opt,0,Debug
OM: Debug log Directory,Opt,NULL,Debug
OM: Default Sales Transaction Phase,,NULL,Transaction Entry
OM: Default Blanket Agreement Type,Opt,NULL,Transaction Entry
OM: Default Blanket Agreement Transaction Phase,Opt,NULL,Transaction Entry
OM: Default Fulfillment Base,No,No value,Fulfillment
