part_number,title,description,toc_url,toc_url_status,pdf_url
e49072,Accounts Receivable Deductions Settlement Implementation Guide,This guide contains the referenced Enterprise Command Center content.,https://docs.oracle.com/cd/doc.122/e49072/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e49072.pdf
e49074,Accounts Receivable Deductions Settlement User Guide,This guide contains the referenced Enterprise Command Center content.,https://docs.oracle.com/cd/doc.122/e49074/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e49074.pdf
e48898,Advanced Collections Implementation Guide,This guide describes the implementation processes and procedures for Oracle Advanced Collections.,https://docs.oracle.com/cd/doc.122/e48898/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48898.pdf
e48897,Advanced Collections User Guide,This guide describes the user processes and procedures for Oracle Advanced Collections.,https://docs.oracle.com/cd/doc.122/e48897/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48897.pdf
e48781,Advanced Global Intercompany System User's Guide,This guide details the user procedures for Oracle E-Business Suite Advanced Global Intercompany System.,https://docs.oracle.com/cd/doc.122/e48781/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48781.pdf
e49095,Advanced Inbound Telephony Implementation Guide,This guide describes the implementation processes and procedures for Oracle Advanced Inbound Telephony.,https://docs.oracle.com/cd/doc.122/e49095/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e49095.pdf
e49096,Advanced Outbound Telephony Implementation Guide,This guide describes the implementation processes and procedures for Oracle Advanced Outbound Telephony.,https://docs.oracle.com/cd/doc.122/e49096/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e49096.pdf
e48757,Advanced Planning Command Center User's Guide,Presents Oracle Advanced Planning Command Center User's Guide.,https://docs.oracle.com/cd/doc.122/e48757/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48757.pdf
e48846,Advanced Pricing Implementation Guide,This guide details the procedures and processes for implementing Oracle Advanced Pricing.,https://docs.oracle.com/cd/doc.122/e48846/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48846.pdf
e48845,Advanced Pricing User's Guide,This guide details Oracle E-Business Suite Advanced Pricing.,https://docs.oracle.com/cd/doc.122/e48845/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48845.pdf
e49087,Advanced Scheduler User Guide,This document details the user processes and procedures for Oracle Advanced Scheduler.,https://docs.oracle.com/cd/doc.122/e49087/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e49087.pdf
e48756,Advanced Supply Chain Planning Implementation and User's Guide,Presents Oracle Advanced Supply Chain Planning Implementation and User's Guide.,https://docs.oracle.com/cd/doc.122/e48756/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48756.pdf
